甲数除以乙数的商是1.5，如果甲数增加20，则甲数是乙的4倍．原来甲数=．	20/(4-1.5)*1.5=12.0	{甲数, 乙数, 商, 1.5, 增加, 20, 4倍, 原来甲数}
客车和货车分别从A、B两站同时相向开出，5小时后相遇．相遇后，两车仍按原速度前进，当它们相距196千米时，货车行了全程的80%，客车已行的路程与未行的路程比是3：2．求A、B两站间的路程．	196/(80%+((3)/(3+2))-1)=490.0	{客车, 货车, A, B, 相向, 开出, 5小时, 相遇, 原速度, 前进, 相距, 196千米, 货车, 行了, 全程, 80%, 客车, 已行, 路程, 未行, 比是, 3:2, 求, A, B, 路程}
图书角有书30本，第一天借出了(1/5)，第二天又还回5本，现在图书角有多少本书？	30*(1-(1/5))+5=29.0	{图书角}{书}{30本}{第一天}{借出}{1/5}{第二天}{还回}{5本}
甲、乙两车同时从相距230千米的两地相向而行，3小时后两车还相距35千米．已知甲车每小时行48千米，乙车每小时行多少千米？	(230-35)/3-48=17.0	{甲, 乙, 两车, 相距, 230千米, 相向而行, 3小时, 相距, 35千米, 甲车, 每小时, 48千米, 乙车, 每小时, 行多少千米}
果园里有苹果树300棵，比桔树多20%，桔树有多少棵？	300/(1+20%)=250.0	{果园, 苹果树, 300棵, 比桔树, 多20%, 桔树, 有多少棵}
某班学生参加数学兴趣小组，其中，参加的男生是全班人数的20%，参加的女生是全班人数的(2/7)多2人，不参加的人数比全班人数的(3/5)少5人，全班有多少人？	(5-2)/(20%+(2/7)+(3/5)-1)=35.0	{男生, 20%, 女生, 2/7, 多2人, 不参加, 3/5, 少5人, 全班人数}
某商店有36筐苹果，每筐重40千克，运来的苹果重量是梨的8倍，运来梨多少千克？	36*40/8=180.0	{苹果, 36筐, 每筐40千克, 重量, 梨, 8倍, 运来, 梨重量}
阳光小学举行少先队队仪式比赛，全校共有720名少先队员，平均分成15个中队，每个中队又分成4分小队，平均每个小队有多少名少先队员？	720/15/4=12.0	{阳光小学, 少先队, 队仪式比赛, 720名, 少先队员, 15个, 中队, 4个小队, 平均}
大猴有9只，小猴比大猴多4只，小猴有多少只．	9+4=13.0	{大猴, 9只, 小猴, 多4只}
一根电线，用去(3/5)米，用去的比剩下的少(1/4)米，这根电线原来有多长？	(3/5)+(1/4)+(3/5)=1.45	{电线, 用去, (3/5)米, 比剩下, 少, (1/4)米, 原来多长}
小玲买了6个单价为0.8元的大通行，9个小通行；大通行的钱比小通行多0.3元．每个小通行多少钱？	(6*0.8-0.3)/9=0.5	{小玲, 买了, 6个, 单价, 0.8元, 大通行, 9个, 小通行, 大通行的钱, 比小通行, 多0.3元, 每个小通行, 多少钱}
一根木料，锯成4段要付费1.2元，如果要锯成12段要付费多少元．	1.2/(4-1)*(12-1)=4.4	{木料, 锯, 4段, 付费, 1.2元, 12段}
把4米长的木棍截5次，截成相等的长度，则每段长多少米．	4/(5+1)=0.6666666666666666	{把，4米，长的，木棍，截，5次，截成，相等的，长度，每段，长，多少米}
学校买来5箱铅笔，每箱有20合，每合有50支铅笔，学校一共买来多少支铅笔？	50*20*5=5000.0	{学校, 买来, 5箱, 铅笔, 每箱, 20合, 每合, 50支, 铅笔, 一共, 买来, 多少支}
在前3场击球游戏中，王新同学得分分别为139，143，144，为使前4场的平均得分为145，第4场她应得多少分．	145*4-(139+143+144)=154.0	{前3场, 击球游戏, 王新同学, 得分, 139, 143, 144, 平均得分, 145, 第4场, 应得}
一堆苹果580千克，平均装在18个箱子里还剩4千克，每个纸箱装了多少千克苹果？	(580-4)/18=32.0	{苹果, 580千克, 平均, 18个箱子, 剩4千克, 纸箱, 装, 千克}
彭娟今年8岁，妈妈的年龄是彭娟的4倍还多2岁，妈妈今年多少岁．	8*4+2=34.0	{彭娟，8岁，妈妈，4倍，多2岁}
客车和货车同时从甲、乙两地相对出发，6小时相遇．货车每小时行50千米，客车的速度是货车的1.5倍，甲、乙两地之间的路程长多少千米？	(50*1.5+50)*6=750.0	{客车, 货车, 甲, 乙, 相对出发, 6小时, 相遇, 货车, 每小时, 50千米, 速度, 1.5倍, 路程}
小强的身高是135厘米，小宁比小强高(1/5)．小宁的身高=多少厘米？	135*(1+(1/5))=162.0	{小强, 身高, 135厘米, 小宁, 比小强高, (1/5), 小宁的身高}
一根铁丝，第一次用去全长的(1/5)，第二次用去15米，这时用去的与剩下的长度比正好是4：1．这根铁丝长多少米？	15/(((4)/(4+1))-(1/5))=25.0	{铁丝, 第一次, 1/5, 第二次, 15米, 用去的, 剩下的, 长度比, 4:1}
汽车修理厂今年一月份修理汽车63辆，比去年同期的2倍少3辆，去年一月份修理汽车多少辆？	(63+3)/2=33.0	{汽车修理厂, 今年, 一月份, 修理, 汽车, 63辆, 比去年, 同期, 2倍, 少3辆, 去年, 一月份, 修理, 汽车, 多少辆}
一个小数的小数点向右移动3位后，正好是1000的70%，这个小数=．	1000*70%/1000=0.7	{小数, 小数点, 向右移动, 3位, 1000, 70%, =}
一列火车从北京开往广州，每小时行95千米，行驶14小时可以到达．北京到广州的铁路全长多少千米？？	95*14=1330.0	{火车, 北京, 开往, 广州, 每小时, 行95千米, 行驶, 14小时, 到达, 铁路, 全长, 千米}
图书馆有科技书400本，比故事书少(3/8)，故事书有多少本？	400/(1-(3/8))=640.0	{图书馆, 科技书, 400本, 比, 故事书, 少, 3/8, 有}
一根木料，第一次用去(2/5)，第二次用去余下的(3/5)，还剩(1/2)米．这根木料全长多少米？	(1/2)/(1-(2/5)-(1-(2/5))*(3/5))=2.0833333333333335	{木料, 第一次, 2/5, 第二次, 3/5, 剩, 1/2, 米, 全长}
同样材质的铜制成的两个零件．一个体积15立方厘米，重133.5克．另一个体积20立方厘米，重多少克？	133.5/15*20=178.0	{同样材质, 铜, 两个零件, 体积, 15立方厘米, 重, 133.5克, 20立方厘米, 多少克}
在400米的环形跑道4周每隔5米插一面彩旗，需要多少面彩旗？	400/5=80.0	{400米, 环形跑道, 4周, 每隔5米, 插一面, 彩旗, 多少面}
商店有彩电101台，彩电比冰箱的9倍多11台，商店有冰箱多少台？	(101-11)/9=10.0	{商店, 彩电, 101台, 比冰箱, 9倍, 多11台, 冰箱, 多少台}
一个工厂前6个月用煤120吨，后半年用煤102吨．每吨煤按80元计算，后半年比前半年平均每月用煤节约多少元．	(120-102)/6*80=240.0	{工厂, 6个月, 用煤, 120吨, 后半年, 102吨, 每吨, 80元, 计算, 节约, 元}
一筐苹果连筐重28千克．卖出半筐苹果后，连筐一起称刚好是15千克．请问筐重多少千克？	15-(28-15)=2.0	{一筐, 苹果, 连筐重, 28千克, 卖出, 半筐, 称, 15千克, 筐重}
有一块14厘米长的塑料板，是由两块一样长的塑料板钉成的，中间钉在一起重叠的部分长2厘米，一块塑料板长多少厘米．	(14+2)/2=8.0	{塑料板, 14厘米, 两块, 长一样, 钉成, 中间, 重叠, 部分, 2厘米, 厘米}
一件上衣原价100元，现在按0.85销售，现在比原来便宜多少元．	100*(1-0.85)=15.0	{上衣, 原价, 100元, 0.85, 销售, 便宜}
学校在一个星期的前4天共用电150度，后3天平均每天用电41度．学校这个星期平均每天用电多少度？	(150+41*3)/(4+3)=39.0	{学校, 星期, 前4天, 用电, 150度, 后3天, 平均, 每天, 41度, 平均每天用电}
每千克橘子4.25元，妈妈买了14千克，付给售货员100元，应找回多少钱？	100-4.25*14=40.5	{每千克橘子，4.25元，妈妈，买了，14千克，付给，售货员，100元，应找回，多少钱？}
把1米长的铁丝平分成6份，每份长多少米．	1/6=0.16666666666666666	{把, 1米, 长的, 铁丝, 平分, 6份, 每份, 长, 多少米}
李奶奶家养鸡12只，鸭的只数是鸡的(3/4)，又是鹅的(9/10)．鹅有多少只？	12*(3/4)/(9/10)=10.0	{李奶奶，家养鸡，12只，鸭，鸡，3/4，鹅，9/10，只}
三年级学生扎了125朵红花和35朵黄花．他们将这些花送给幼儿园的5个幼儿班，平均每个班幼儿可以得到多少朵花？	(125+35)/5=32.0	{三年级, 学生, 扎了, 125朵, 红花, 35朵, 黄花, 送给, 幼儿园, 5个, 幼儿班, 平均, 每个班, 幼儿, 可以得到, 多少朵, 花}
一个正方形的边长是0.35米，它的面积=多少平方米．	0.35*0.35=0.1225	{正方形, 边长, 0.35米, 面积, 平方米}
王家村村委会图书室有科技书、文艺书共630本，其中科技书占20%．后来又买进一批科技书，这时科技书占两种书的30%，后来又买进的科技书=多少本？	630*(1-20%)/(1-30%)-630=90.0	{王家村, 村委会图书室, 科技书, 文艺书, 630本, 20%, 买进, 30%, 后来又买进的科技书}
一辆客车和一辆货车同时从两地相对开出，客车每小时行60千米，货车每小时行52千米，经过3.5小时两车相遇．求两地之间的距离．	(60+52)*3.5=392.0	{客车, 货车, 相对, 开出, 每小时, 60千米, 52千米, 经过, 3.5小时, 相遇, 求两地, 之间的距离}
36+729再加上64，得多少？	36+729+64=829.0	{36, +, 729, 再加上, 64, 得多少}
学校改造阶梯教室实际用去12万元，比计划节省3万元．节省了百分之几？	3/(12+3)=0.2	{学校, 改造, 阶梯教室, 实际用去, 12万元, 比计划, 节省, 3万元, 百分之几}
修一条长3600米的隧道，已经修了30天，还剩1200米没修，平均每天修多少米．	(3600-1200)/30=80.0	{修, 隧道, 长, 3600米, 已经, 修了, 30天, 还剩, 1200米, 没, 修, 平均, 每天, 修, 多少米}
清潭福来罐头厂去年上半年生产罐头48万箱，是下半年产量的(4/5)．今年预计的产量比去年增长(1/3)．求该厂今年的产量=多少万箱？	(48/(4/5)+48)*(1+(1/3))=144.0	{清潭福来罐头厂, 去年上半年, 生产, 罐头, 48万箱, 下半年, 产量, 4/5, 今年, 预计, 增长, 1/3, 产量}
工人叔叔修一条公路，每天修6米，修了4天后，还剩40米，这条公路长多少米？	6*4+40=64.0	{工人叔叔, 修, 公路, 每天, 6米, 修了, 4天, 还剩, 40米, 长多少米}
星期天，小红从家到学校去参加体育训练，10分钟行了全程的(1/4)，由于怕迟到，于是她乘出租车，2分钟后就到了全程(1/2)，照这样的速度，她达到学校可以提前多少分钟．	10/(1/4)-2/(1/2)=36.0	{星期天，小红，家，学校，体育训练，10分钟，全程，1/4，出租车，2分钟，1/2，速度，提前}
在小路的一旁从头到尾种了31棵树，每隔2米种一棵，这条小路全长=多少米．	(31-1)*2=60.0	{小路, 一旁, 31棵树, 每隔2米, 种一棵, 全长}
同学们做操，每行排12人正好排4行；如果每行排8人，可以多排多少行．	12*4/8-4=2.0	{同学们，做操，每行，排，12人，正好，4行，每行，排，8人，多排，行}
某超市运来苹果90箱，运来的橘子的箱数是苹果的60%，该超市运来苹果和橘子共多少箱．	90*(1+60%)=144.0	{超市, 苹果, 90箱, 橘子, 箱数, 60%, 运来, 共多少箱}
小军家上月电话费50元，本月电话费38元．本月比上月节约百分之几？	(50-38)/50=0.24	{小军家, 上月, 电话费, 50元, 本月, 38元, 节约, 百分之几}
光华电池厂十月份生产电池480箱，比9月份增产80箱，增产了百分之几？	80/(480-80)=0.2	{光华电池厂, 十月份, 生产, 电池, 480箱, 比, 9月份, 增产, 80箱, 增产了, 百分之几}
两个因数都是48，它们的积=．	48*48=2304.0	{因数, 48, 积}
某班男同学占全班人数的(7/12)，比女同学多8人，该班共有多少人？	8/((7/12)-(1-(7/12)))=48.0	{某班, 男同学, 占, 全班, 人数, 7/12, 比, 女同学, 多, 8人, 共有, 多少人}
从(9/7)的倒数里减去(6/7)/(6/5)的商，差=？	1/(9/7)-(6/7)/(6/5)=0.06349206349206349	{从, 倒数, 减去, 商, 差}
4（2）班有4个小组，每个小组8人，全班共植树288棵，平均每人植树多少棵？	288/4/8=9.0	{4（2）班, 4个小组, 每个小组, 8人, 全班, 共植树, 288棵, 平均, 每人, 植树}
在跳远比赛中，合格的标准是3.00米，李明跳出了3.12米记作+0.12米，小菲跳了2.95米，应记作多少米．	3.00-2.95=0.05	{跳远比赛, 合格, 3.00米, 李明, 3.12米, +0.12米, 小菲, 2.95米}
张华看一本《少年文艺》．第一天看了50页，第二天看了全书的(1/4)，还剩25页没看．这本书一共有多少页？	(50+25)/(1-(1/4))=100.0	{张华，《少年文艺》，第一天，50页，第二天，全书的(1/4)，还剩，25页，多少页}
4个0.1与多少个(1/10)的和是1．	(1-0.1*4)/(1/10)=6.0	{4个, 0.1, 多少个, (1/10), 和, 是, 1}
3个同学踢毽子．小涛踢了150个，小花踢的个数是小涛的(2/3)，小红踢的个数是小花的(4/5)．小红踢了多少个毽子？	150*(2/3)*(4/5)=80.0	{踢毽子, 小涛, 150个, 小花, 2/3, 小红, 4/5}
现在国际市场上原油价格约78美元一桶，比一年前涨了约(1/5)，一年前一桶原油价格=多少美元？	78/(1+(1/5))=65.0	{国际市场, 原油价格, 78美元, 一桶, 涨, 1/5, 一年前, 一桶原油价格}
学校买来580本书，发给24个班后还剩100本．平均发给每个班多少本？	(580-100)/24=20.0	{学校, 买来, 580本, 书, 发给, 24个, 班, 后, 还剩, 100本, 平均, 发给, 每个班, 多少本}
